country,tertiary_f,tertiary_m,ceo_f,ceo_m,exec_f,exec_m,pay_gap,q1_agree,q1_disagree,q2_agree,q2_disagree,q3_agree,q3_disagree,equality_index
Austria,29.9,28.9,5,95,6.05,93.95,20.1,77,23,77,23,73.6,26.4,63.3
Belgium,36.5,30,5.75,94.25,16.8,83.2,6.1,75.5,24.5,75.5,24.5,57.8,42.2,70.5
Bulgaria,29.9,19,13.3,86.7,26.1,73.9,14.4,69.1,30.9,69.1,30.9,74.7,25.3,58
Croatia,22.6,17.4,6.15,93.85,20.85,79.15,8.7,73.1,26.9,73.1,26.9,64,36,53.1
Cyprus,42.5,32.3,5.9,94.1,16.55,83.45,13.9,88.7,11.3,88.7,11.3,72.6,27.4,55.1
Czech Republic,21.8,19.4,0,100,6.95,93.05,21.8,67.6,32.4,67.6,32.4,59.8,40.2,53.6
Denmark,35.2,27.4,5.6,94.4,10.2,89.8,15,69.4,30.6,69.4,30.6,32,68,76.8
Estonia,42.6,25.4,3.15,96.85,29.3,70.7,25.3,63.9,36.1,63.9,36.1,59.6,40.4,56.7
Finland,41.9,30,0,100,16,84,17.4,73.3,26.7,73.3,26.7,26.7,73.3,73
France,33.2,28.5,1.45,98.55,14.6,85.4,15.2,80.2,19.8,80.2,19.8,51.5,48.5,72.6
Germany,22.1,26.8,0,100,10.05,89.95,21.5,75.6,24.4,75.6,24.4,60,40,65.5
Greece,28.2,24.7,0,100,16.55,83.45,12.5,84.5,15.5,84.5,15.5,74.9,25.1,50
Hungary,23.6,17.5,19.4,80.6,11.9,88.1,14,70.8,29.2,70.8,29.2,76.8,23.2,50.8
Ireland,41.7,34.3,10.5,89.5,11.4,88.6,13.9,81.1,18.9,81.1,18.9,54.1,45.9,69.5
Italy,17.9,13.4,0,100,9.5,90.5,5.3,71.8,28.2,71.8,28.2,72,28,62.1
Latvia,37.5,21,0,100,23.9,76.1,17,62.6,37.4,62.6,37.4,78.5,21.5,57.9
Lithuania,41,26.7,14.05,85.95,20.2,79.8,14.4,71.7,28.3,71.7,28.3,70.4,29.6,56.8
Luxembourg,36.4,36.5,11.1,88.9,9.75,90.25,5.5,77,23,77,23,67.9,32.1,69
Malta,20.2,17.5,4.5,95.5,13.85,86.15,11,92.6,7.4,92.6,7.4,76.8,23.2,60.1
Netherlands,31.4,30.6,4.65,95.35,11.1,88.9,15.6,71.2,28.8,71.2,28.8,45.5,54.5,72.9
Poland,30.1,20.3,0,100,11.2,88.8,7.2,64.9,35.1,64.9,35.1,67.7,32.3,56.8
Portugal,25.4,17.2,5.9,94.1,10.65,89.35,17.5,81.9,18.1,81.9,18.1,79.4,20.6,56
Romania,16,14.2,33.3,66.7,23.3,76.7,5.2,70.8,29.2,70.8,29.2,64.4,35.6,52.4
Slovakia,22.7,16.8,10,90,12.9,87.1,19,68.7,31.3,68.7,31.3,58.2,41.8,52.4
Slovenia,33.2,21.4,10,90,19.05,80.95,7.8,70.7,29.3,70.7,29.3,60.5,39.5,68.4
Spain,35.4,30,2.9,97.1,11.8,88.2,14.2,87.8,12.2,87.8,12.2,71.8,28.2,68.3
Sweden,41.5,29.4,11.5,88.5,24.5,75.5,13.3,86.3,13.7,86.3,13.7,31.9,68.1,82.6
